id,label,group
S1,26.05.05 Судовождение,Специальность
S2,"26.05.06 Эксплуатация судовых энергетических установок,",Специальность
S3,"26.05.07 Эксплуатация судового электрооборудования и средств автоматики,",Специальность
UK01,УК-1,УК
UK02,УК-2,УК
UK03,УК-3,УК
UK04,УК-4,УК
UK05,УК-5,УК
UK06,УК-6,УК
UK07,УК-7,УК
UK08,УК-8,УК
UK09,УК-9,УК
UK10,УК-10,УК
OPK1,ОПК-1,ОПК
OPK2,ОПК-2,ОПК
OPK3,ОПК-3,ОПК
OPK4,ОПК-4,ОПК
OPK5,ОПК-5,ОПК
OPK6,ОПК-6,ОПК
PK0501,ПК-1,ПК (судоводитель)
PK0502,ПК-2,ПК (судоводитель)
PK0503,ПК-3,ПК (судоводитель)
PK0504,ПК-4,ПК (судоводитель)
PK0505,ПК-5,ПК (судоводитель)
PK0506,ПК-6,ПК (судоводитель)
PK0507,ПК-7,ПК (судоводитель)
PK0508,ПК-8,ПК (судоводитель)
PK0509,ПК-9,ПК (судоводитель)
PK0510,ПК-10,ПК (судоводитель)
PK0511,ПК-11,ПК (судоводитель)
PK0512,ПК-12,ПК (судоводитель)
PK0513,ПК-13,ПК (судоводитель)
PK0514,ПК-14,ПК (судоводитель)
PK0515,ПК-15,ПК (судоводитель)
PK0516,ПК-16,ПК (судоводитель)
PK0517,ПК-17,ПК (судоводитель)
PK0518,ПК-18,ПК (судоводитель)
PK0535,ПК-35,ПК (судоводитель)
PK0536,ПК-36,ПК (судоводитель)
PK0537,ПК-37,ПК (судоводитель)
PK0538,ПК-38,ПК (судоводитель)
PK0539,ПК-39,ПК (судоводитель)
PK0540,ПК-40,ПК (судоводитель)
PK0541,ПК-41,ПК (судоводитель)
PK0542,ПК-42,ПК (судоводитель)
PK0543,ПК-43,ПК (судоводитель)
PK0544,ПК-44,ПК (судоводитель)
PK0545,ПК-45,ПК (судоводитель)
PK0546,ПК-46,ПК (судоводитель)
PK0547,ПК-47,ПК (судоводитель)
PK0548,ПК-48,ПК (судоводитель)
PK0549,ПК-49,ПК (судоводитель)
PK0550,ПК-50,ПК (судоводитель)
PK0551,ПК-51,ПК (судоводитель)
PK0552,ПК-52,ПК (судоводитель)
PK0572,ПК-72,ПК (судоводитель)
PK0573,ПК-73,ПК (судоводитель)
PK0574,ПК-74,ПК (судоводитель)
PK0575,ПК-75,ПК (судоводитель)
PK0576,ПК-76,ПК (судоводитель)
PK0577,ПК-77,ПК (судоводитель)
PK0578,ПК-78,ПК (судоводитель)
PK0579,ПК-79,ПК (судоводитель)
PK0580,ПК-80,ПК (судоводитель)
PK0581,ПК-81,ПК (судоводитель)
PK0582,ПК-82,ПК (судоводитель)
PK0563,ПК-63,ПК (судоводитель)
PK0564,ПК-64,ПК (судоводитель)
PK0565,ПК-65,ПК (судоводитель)
PK0566,ПК-66,ПК (судоводитель)
D0501,Б1.В.01 ЭКНИС,Дисциплина (судоводитель)
D0502,Б1.В.02 Энергетические установки и ЭС,Дисциплина (судоводитель)
D0503,Б1.В.03 Организация службы на судах,Дисциплина (судоводитель)
D0504,Б1.В.04 Морской английский язык,Дисциплина (судоводитель)
D0505,Б1.В.05 Морское право,Дисциплина (судоводитель)
D0506,Б1.В.06 Радиосвязь и телекоммуникации,Дисциплина (судоводитель)
D0507,Б1.В.ДВ.02.01Основы коммуникаций в судовом экипаже,Дисциплина (судоводитель)
D0508,Б1.В.ДВ.02.02 Судовая деловая переписка,Дисциплина (судоводитель)
D0509,Б1.В.ДВ.03.01 Основы безопасной экусплуатации танкеров,Дисциплина (судоводитель)
D0510,Б1.В.ДВ.03.02 Основы безопасной экусплуатации специализированных сухогрузных судов,Дисциплина (судоводитель)
D0511,Б1.В.ДВ.04.01 Международные морские конвенции,Дисциплина (судоводитель)
D0512,Б1.В.ДВ.04.02 Эксплуатация судов в полярных водах,Дисциплина (судоводитель)
D0513,Б1.В.ДВ.05.01 Морская практика,Дисциплина (судоводитель)
D0514,Б1.В.ДВ.05.02 Основы технической эксплуатации судна,Дисциплина (судоводитель)
D0515,Б1.В.ДВ.06.01 Курс подготовки экипажей гражданских судов,Дисциплина (судоводитель)
D0516,Б1.В.ДВ.06.02 Подготовак экипажей судов по транспортной безопасности,Дисциплина (судоводитель)
D0517,Б1.В.ДВ.07.01 Основы предотвращения загрязнения с судов,Дисциплина (судоводитель)
D0518,Б1.В.ДВ.07.02 Коммерческая эксплуатация судна,Дисциплина (судоводитель)
D0519,Б1.В.ДВ.08.01 Спортивные игры,Дисциплина (судоводитель)
D0520,Б1.В.ДВ.08.02 Плавание,Дисциплина (судоводитель)
D0521,Б1.В.ДВ.08.03 ОФП,Дисциплина (судоводитель)
D0522,Б1.В.ДВ.08.04 АФК,Дисциплина (судоводитель)
D0523,Б1.О.01 История России,Дисциплина (судоводитель)
D0524,Б1.О.02 Философия,Дисциплина (судоводитель)
D0525,Б1.О.03 БЖД,Дисциплина (судоводитель)
D0526,Б1.О.04 Иностранный язык,Дисциплина (судоводитель)
D0527,Б1.О.05 ФКиС,Дисциплина (судоводитель)
D0528,Б1.О.06 Формирование социальной КП,Дисциплина (судоводитель)
D0529,Б1.О.07 Экономика,Дисциплина (судоводитель)
D0530,Б1.О.08 ОРГ,Дисциплина (судоводитель)
D0531,Б1.О.09 Русский язык в ПК,Дисциплина (судоводитель)
D0532,Б1.О.10 Противодействие экстремизму,Дисциплина (судоводитель)
D0533,Б1.О.11 История ТР,Дисциплина (судоводитель)
D0534,Б1.О.12 Управление социально-трудовыми отношениями в СЭ,Дисциплина (судоводитель)
D0535,Б1.О.13 Математика,Дисциплина (судоводитель)
D0536,Б1.О.14 Информатика,Дисциплина (судоводитель)
D0537,Б1.О.15 Физика,Дисциплина (судоводитель)
D0538,Б1.О.16 Химия,Дисциплина (судоводитель)
D0539,Б1.О.17 Экология,Дисциплина (судоводитель)
D0540,Б1.О.18 Введение в специальность,Дисциплина (судоводитель)
