"Код","Наименование"
"ПК-1","Способен нести машинную вахту на основе установленных принципов несения машинных вахт"
"ПК-2","Способен эксплуатировать главные установки и вспомогательные механизмы и связанные с ними системы управления"
"ПК-3","Способен проводить техническое обслуживание и ремонт судовых механизмов и оборудования"
"ПК-4","Способен эксплуатировать электрооборудование, электронную аппаратуру и системы управления"
"ПК-5","Способен проводить техническое обслуживание и ремонт электрического и электронного оборудования"
"ПК-6","Способен управлять эксплуатацией, проводить наблюдения, оценивать работы и поддерживать безопасность судовой двигательной установки и вспомогательных механизмов"
"ПК-7","Способен управлять безопасным и эффективным проведением технического обслуживания и ремонта"
"ПК-8","Способен эксплуатировать электрическое и электронное оборудование на уровне управления"
"ПК-9","Способен устранять неисправности, приводить в рабочее состояние электрическое и электронное оборудование на уровне управления"
"ПК-10","Способен управлять операциями судна и заботится о людях на уровне управления"
