"Код","Наименование"
"УК-1","Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий"
"УК-2","Способен управлять проектом на всех этапах его жизненного цикла"
"УК-3","Способен организовать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели"
"УК-4","Способен применять современные коммуникативные технологии, в том числе на иностранном языке, для академического и профессионального взаимодействия"
"УК-5","Способен анализировать и учитывать разнообразие культур в процессе межкультурного взаимодействия"
"УК-6","Способен определить и реализовать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни"
"УК-7","Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности"
"УК-8","Способен создавать и поддерживать в повседневной жизни и в профессиональной деятельности безопасные условия жизнедеятельности для сохранения природной среды, обеспечения устойчивого развития общества, в том числе при угрозе и возникновении чрезвычайных ситуаций и военных конфликтов"
"УК-9","Способен принимать обоснованные экономические решения в различных областях жизнедеятельности"
"УК-10","Способен формировать нетерпимое отношение к проявлениям экстремизма, терроризма, коррупционному поведению и противодействовать им в профессиональной деятельности"
