"Код","Наименование"
"ПК-1","Способен осуществлять безопасное техническое использование, техническое обслуживание, диагностирование и ремонт судового электрооборудования и средств автоматики в соответствии с международными и национальными требованиями"
"ПК-2","Способен осуществлять безопасное техническое использование, техническое обслуживание, диагностирование и ремонт электрического и электронного оборудования в соответствии с международными и национальными требованиями"
"ПК-3","Способен осуществлять безопасное техническое использование, техническое обслуживание, диагностирование и ремонт систем автоматики и управления главной двигательной установкой и вспомогательными механизмами в соответствии с международными и национальными требованиями"
"ПК-4","Способен осуществлять безопасное техническое использование, техническое обслуживание, диагностирование и ремонт судового электрооборудования и средств автоматики на напряжение свыше 1000В в соответствии с международными национальными требованиями"
"ПК-5","Способен осуществлять безопасное техническое использование, техническое обслуживание, диагностирование и ремонт электрооборудования и средств автоматики навигационного оборудования и систем связи на мостике в соответствии с международными и национальными требованиями"
"ПК-6","Способен осуществлять безопасное техническое использование, техническое обслуживание судовой компьютерной информационной системы в соответствии с международными и национальными требованиями"
"ПК-7","Способен осуществлять безопасное техническое использование, техническое обслуживание, диагностирование и ремонт электрооборудования и средств автоматики судовых палубных механизмов и грузоподъемных устройств в соответствии с международными и национальными требованиями"
"ПК-8","Способен осуществлять безопасное техническое использование, техническое обслуживание, диагностирование и ремонт систем управления и безопасности бытового оборудования в соответствии с международными и национальными требованиями"
"ПК-9","Способен устанавливать причины отказов судового и берегового электрооборудования и средств автоматики, определять и осуществлять мероприятия по их предотвращению"
"ПК-10","Способен осуществлять наблюдение за эксплуатацией электрических и электронных систем, а также систем управления"
"ПК-11","Способен осуществлять наблюдение за работой автоматических систем управления двигательной установкой и вспомогательными механизмами"
"ПК-12","Способен осуществлять разработку, оформление и ведение эксплуатационной документации"
"ПК-13","Способен исполнять должностные обязанности командного состава судов в соответствии с нормативными документами"
"ПК-14","Способен владеть знаниями правил несения судовых вахт, поддержания судна в мореходном состоянии, способностью осуществлять контроль за выполнением установленных требований норм и правил"
"ПК-15","Способен выбрать и, при необходимости, разработать рациональные нормативы эксплуатации, технического обслуживания, ремонта и хранения судового и берегового электрооборудования и средств автоматики"
"ПК-16","Способен осуществлять организацию работы коллектива в сложных и критических условиях в том числе при борьбе с пожаром и спасении экипажа, осуществлять выбор, обоснование, принятие и реализацию управленческих решений в рамках приемлемого риска"
"ПК-17","Способен организовывать профессиональное обучение и аттестацию обслуживающего персонала и специалистов"
"ПК-18","Способен обеспечить выполнение требований по предотвращению загрязнения"
"ПК-19","Способен применять навыки оказания первой медицинской помощи на судах"
"ПК-20","Способен обеспечить безопасность персонала и судна"
"ПК-21","Способен сформировать цели проекта (программы), разработать обобщенные варианты их достижения, выполнить анализ этих вариантов, прогнозировать последствия, находить компромиссные решения;"
"ПК-22","Способен разработать проекты объектов профессиональной деятельности с учетом физикотехнических, механикотехнологических, эстетических, эргономических, экологических и экономических требований"
"ПК-23","Способен принять участие в разработке и оформлении проектной, нормативной и технологической документации для ремонта, модернизации и модификации судового электрооборудования и средств автоматики"
"ПК-24","Способен определять производственную программу по техническому обслуживанию, ремонту и другим услугам при эксплуатации судового и берегового электрооборудования и средств автоматики в соответствии с существующими требованиями"
"ПК-25","Способен осуществлять монтаж, наладку, техническое наблюдение судового и берегового электрооборудования и средств автоматики, эффективно использовать материалы, электрооборудование, соответствующие алгоритмы и программы для расчетов параметров технологических процессов"
"ПК-26","Способен организовать и эффективно осуществлять контроль качества запасных частей, комплектующих изделий и материалов, производственный контроль технологических процессов, качества продукции, услуг и конструкторскотехнологической документации"
"ПК-27","Способен обеспечить экологическую безопасность эксплуатации, хранения, обслуживания и ремонта судового и берегового электрооборудования и средств автоматики, безопасные условия труда персонала в соответствии с системой национальных и международных требований"
"ПК-28","Способен осуществлять метрологическую поверку основных средств измерений, проводить стандартные и сертификационные испытания материалов, изделий и услуг"
